Ref#;Gebouw NL;Gebouw EN;Gebouw ID;Afkorting NL;Afkorting EN;Etage;Vastgoednr;Kamernr;Kamer ID;Ruimtenaam NL;Ruimtenaam EN;Soort studieplek;Email adres gebouw;Email adres onderwijszaal;Breedtegraad;Lengtegraad;Type Studieplek;Totaal aantal studieplekken;Aantal tafels;Aantal stoelen per tafel;Verstelbare stoel;Vaste stoel;Overige zitplek;Waarvan te gebruiken als individuele studieplek;Beschikbaarheid voor zelfstudie;Mate van stilte;Reserveerbaar voor zelfstudie;Daglicht;Stroompunt;Ethernet;Vaste PC;Whiteboard;Smartboard;Presentatiescherm;Afstand tot coffeecorner/ automaat;Afstand tot printer;Afstand tot toilet;Toegewezen aan project/groep;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00043;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;begane grond;08.03.00.200;BG.West.200;BG.West.200;PROTOSPACELAB;PROTOSPACELAB;onderwijsruimte;Building-08@tudelft.nl;;52.005147;4.370706;B;30;10;3;5;25;0;15;2;rustig;nee;nee;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00044;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;begane grond;08.03.00.370;BG.West.370;BG.West.370;KOFFIEMACHINE/PRINTER;Coffee corner;horecaplek;Building-08@tudelft.nl;;52.005505;4.370063;C;6;3;4;0;12;2;6;1;rumoerig;nee;nee;nee;nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00045;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;begane grond;08.04.00.300;BG.Zuid.300;BG.Zuid.300;RESTAURANT;Restaurant;horecaplek;Building-08@tudelft.nl;;52.005366;4.371160;C;130;23;6;0;138;0;52;1;rumoerig;nee;nee;ja (<1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00046;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;begane grond;08.04.00.310;BG.Zuid.310;BG.Zuid.310;@WORK;@WORK;aanlandstudieplek;Building-08@tudelft.nl;;52.005506;4.371188;B;24;7;4;0;24;0;24;1;rumoerig;nee;nee;ja (<1 pp);nee;ja;nee;nee;nee;0-25m;0-25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00047;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;begane grond;08.04.00.400;BG.Zuid.400;BG.Zuid.400;RESTAURATANT;Restaurant;horecaplek;Building-08@tudelft.nl;;52.005366;4.371160;C;38;19;2;0;38;0;21;1;rumoerig;nee;nee;ja (<1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00048;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;begane grond;08.04.T0.200;BG+.Zuid.200;BG+.Zuid.200;STUDIERUIMTE;Study Spot;onderwijsruimte;Building-08@tudelft.nl;;52.005422;4.370634;B;83;8;10;80;0;3;83;2;rumoerig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00049;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;begane grond;08.04.T0.100;BG+.Zuid.100;BG+.Zuid.100;STUDIERUIMTE;Study Spot;onderwijsruimte;Building-08@tudelft.nl;;52.005657;4.370958;B;36;3;12;0;36;0;36;2;rumoerig;nee;ja;ja (<1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00050;20 - Aula;20 - Aula;20 - Aula;AULA;AULA;1e verdieping;20.onbekend.001;00.[250];00.[250];DOUWE EGBERTS;Coffee corner;horecaplek;Building-20@tudelft.nl;;52.001952;4.373581;C;2;0;0;0;0;2;0;1;rustig;nee;ja;nee;nee;nee;nee;nee;nee;0-25m;>25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00051;20 - Aula;20 - Aula;20 - Aula;AULA;AULA;1e verdieping;20.onbekend.002;00.[255];00.[255];GROEPSRUIMTE - projectruimte noord 1;Group room;groepswerkplek;Building-20@tudelft.nl;;52.002325;4.373297;B;6;3;2;0;6;0;3;1;rustig;ja;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;>25m;>25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00052;20 - Aula;20 - Aula;20 - Aula;AULA;AULA;1e verdieping;20.onbekend.003;00.[260];00.[260];GROEPSRUIMTE - projectruimte noord 2;Group room;groepswerkplek;Building-20@tudelft.nl;;52.002325;4.373297;B;6;2;3;0;6;0;2;1;rustig;ja;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;>25m;>25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00053;20 - Aula;20 - Aula;20 - Aula;AULA;AULA;1e verdieping;20.onbekend.004;00.[270];00.[270];GROEPSRUIMTE - projectruimte noord 3;Group room;groepswerkplek;Building-20@tudelft.nl;;52.002325;4.373297;B;8;2;4;0;8;0;2;1;rustig;ja;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;>25m;>25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00054;20 - Aula;20 - Aula;20 - Aula;AULA;AULA;1e verdieping;20.onbekend.005;00.[280];00.[280];GROEPSRUIMTE - projectruimte noord 4;Group room;groepswerkplek;Building-20@tudelft.nl;;52.002325;4.373297;B;8;2;4;0;8;0;2;1;rustig;ja;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;>25m;>25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00055;20 - Aula;20 - Aula;20 - Aula;AULA;AULA;begane grond;20.onbekend.008;00.[180];00.[180];GANG;Corridor;informeel zitje;Building-20@tudelft.nl;;52.002141;4.373462;C;17;2;4;0;8;15;4;1;rumoerig;nee;nee;nee;nee;nee;nee;nee;nee;>25m;>25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00056;20 - Aula;20 - Aula;20 - Aula;AULA;AULA;begane grond;20.onbekend.009;00.[270];00.[270];RESTAURANT EN BAR - bij raam;Restaurant;horecaplek;Building-20@tudelft.nl;;52.002304;4.373861;C;14;2;7;14;0;0;8;1;rumoerig;nee;ja;ja (>/= 1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00057;20 - Aula;20 - Aula;20 - Aula;AULA;AULA;begane grond;20.onbekend.010;00.[270];00.[270];RESTAURANT EN BAR;Restaurant;horecaplek;Building-20@tudelft.nl;;52.002304;4.373861;C;415;122;3;0;366;49;122;1;rumoerig;nee;nee;ja (<1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00058;20 - Aula;20 - Aula;20 - Aula;AULA;AULA;begane grond;20.onbekend.011;00.[400];00.[400];A LA CARTE RESTAURANT ;Restaurant;horecaplek;Building-20@tudelft.nl;;52.002304;4.373861;C;32;8;4;0;32;1;8;1;rumoerig;nee;ja;ja (<1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00059;21 - Library ;21 - Library ;21 - Library ;LIB;LIB;begane grond;21.onbekend.001;0.06/0.12;0.06/0.12;RODE ZAAL;RODE ZAAL;concentratiestudieplek;Building-21@tudelft.nl;;52.002941;4.375635;A;38;1;38;38;0;0;38;1;stil;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;>25m;>25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00060;21 - Library;21 - Library ;21 - Library;LIB;LIB;1e verdieping;21.00.01.010;1.01;1.01;GROTE HAL - tafels rechts van entrée;Hall;aanlandstudieplek;Building-21@tudelft.nl;;52.002568;4.375236;B;37;10;4;0;37;0;10;1;rustig;nee;nee;nee;nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00061;21 - Library ;21 - Library ;21 - Library ;LIB;LIB;1e verdieping;21.00.01.010;1.01;1.01;GROTE HAL - tafels achter treinbanken;Hall;aanlandstudieplek;Building-21@tudelft.nl;;52.002572;4.375644;B;24;6;4;24;0;0;12;1;rustig;nee;nee;ja (<1 pp);nee;nee;nee;nee;nee;>25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00062;21 - Library ;21 - Library ;21 - Library ;LIB;LIB;1e verdieping;21.00.01.010;1.01;1.01;GROTE HAL - rode banken / losse stoelen;Hall;aanlandstudieplek / groepswerkplek;Building-21@tudelft.nl;;52.002572;4.375644;B;64;12;2;0;12;48;24;1;rustig;nee;nee;ja (>/= 1 pp);nee;nee;nee;nee;nee;>25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00063;21 - Library ;21 - Library ;21 - Library ;LIB;LIB;1e verdieping;21.00.01.010;1.01;1.01;GROTE HAL - grijze stoelen, zitplekken;Hall;informeel zitje;Building-21@tudelft.nl;;52.002378;4.375236;C;19;8;3;0;0;19;13;1;rustig;nee;ja;nee;nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00064;21 - Library ;21 - Library ;21 - Library ;LIB;LIB;1e verdieping;21.00.01.010;1.01;1.01;GROTE HAL - leestafel rechts;Hall;aanlandstudieplek;Building-21@tudelft.nl;;52.002572;4.375644;B;10;1;10;0;10;0;4;1;rustig;nee;nee;nee;nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00065;21 - Library ;21 - Library ;21 - Library ;LIB;LIB;1e verdieping;21.00.01.010;1.01;1.01;GROTE HAL - driehoektafels;Hall;aanlandstudieplek / groepswerkplek;Building-21@tudelft.nl;;52.002714;4.375651;B;74;27;3;0;74;0;27;1;rustig;nee;nee;ja (>/= 1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00066;21 - Library ;21 - Library ;21 - Library ;LIB;LIB;1e verdieping;21.00.01.010;1.01;1.01;GROTE HAL - PC-plekken centrale hal;Hall;concentratiestudieplek;Building-21@tudelft.nl;;52.002839;4.375641;A;24;2;12;24;0;0;24;1;rustig;nee;nee;ja (>/= 1 pp);ja;ja;nee;nee;nee;0-25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00067;21 - Library;21 - Library ;21 - Library;LIB;LIB;1e verdieping;21.00.01.010;1.01;1.01;GROTE HAL - lange tafels links;Hall;aanlandstudieplek;Building-21@tudelft.nl;;52.002839;4.375641;B;24;2;12;24;0;0;24;1;rustig;nee;nee;ja (>/= 1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00068;21 - Library;21 - Library ;21 - Library;LIB;LIB;1e verdieping;21.00.01.010;1.01;1.01;GROTE HAL - rechter achterhoek;Hall;informeel zitje;Building-21@tudelft.nl;;52.002572;4.375644;C;4;1;4;4;0;2;2;1;rustig;nee;ja;ja (<1 pp);nee;nee;nee;nee;nee;>25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00069;21 - Library ;21 - Library ;21 - Library ;LIB;LIB;1e verdieping;21.00.01.050;1.05;1.05;BLAUWE ZAAL;Instruction room;concentratiestudieplek;Building-21@tudelft.nl;;52.002812;4.375346;A;32;16;2;30;2;0;16;2;stil;nee;ja;ja (>/= 1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00070;21 - Library ;21 - Library ;21 - Library ;LIB;LIB;1e verdieping;21.00.01.060;1.06;1.06;HUISKAMER;HUISKAMER;horecaplek;Building-21@tudelft.nl;;52.002812;4.375346;C;29;10;4;0;5;28;8;1;rumoerig;nee;nee;ja (<1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00071;21 - Library ;21 - Library ;21 - Library ;LIB;LIB;1e verdieping;21.00.01.090;1.09;1.09;GLAZEN ZAAL;Instruction room;concentratiestudieplek;Building-21@tudelft.nl;;52.002941;4.375635;A;112;7;16;112;0;0;112;1;stil;nee;ja;ja (>/= 1 pp);ja;ja;nee;nee;nee;>25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00072;21 - Library ;21 - Library ;21 - Library ;LIB;LIB;1e verdieping;21.00.01.090;1.09;1.09;GLAZEN ZAAL - raamkant;Instruction room;concentratiestudieplek;Building-21@tudelft.nl;;52.002941;4.375635;A;28;1;28;28;0;0;28;1;stil;nee;ja;ja (>/= 1 pp);nee;nee;nee;nee;nee;>25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00073;21 - Library ;21 - Library ;21 - Library ;LIB;LIB;1e verdieping;21.00.01.120;1.12;1.12;ORANJE ZAAL;Instruction room;concentratiestudieplek;Building-21@tudelft.nl;;52.002998;4.375912;A;53;16;3;0;53;0;26;2;stil;nee;ja;ja (<1 pp);nee;nee;nee;nee;nee;>25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00074;21 - Library ;21 - Library ;21 - Library ;LIB;LIB;1e verdieping;21.00.01.700;1.70;1.70;GROEPSRUIMTE- Edison;Group room;groepswerkplek;Building-21@tudelft.nl;;52.002437;4.375626;B;4;1;4;4;0;0;2;1;rustig;ja;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;>25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00075;21 - Library ;21 - Library ;21 - Library ;LIB;LIB;1e verdieping;21.00.01.720;1.72;1.72;GROEPSRUIMTE - Curie;Group room;groepswerkplek;Building-21@tudelft.nl;;52.002437;4.375626;B;4;1;4;4;0;0;2;1;rustig;ja;ja;ja (>/= 1 pp);ja;nee;ja;nee;nee;>25m;>25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00076;21 - Library ;21 - Library ;21 - Library ;LIB;LIB;1e verdieping;21.00.01.740;1.74;1.74;GROEPSRUIMTE - Einstein;Group room;groepswerkplek;Building-21@tudelft.nl;;52.002437;4.375626;B;8;4;4;0;8;6;4;1;rustig;ja;ja;ja (>/= 1 pp);ja;nee;nee;nee;ja;>25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00077;21 - Library ;21 - Library ;21 - Library ;LIB;LIB;1e verdieping;21.00.01.780;1.78;1.78;GROEPSRUIMTE - Jobs;Group room;groepswerkplek;Building-21@tudelft.nl;;52.002437;4.375626;B;8;3;4;0;8;1;5;1;rustig;ja;ja;ja (>/= 1 pp);ja;nee;ja;nee;ja;>25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00078;21 - Library ;21 - Library ;21 - Library ;LIB;LIB;1e verdieping;21.00.01.820;1.82;1.82;GROEPSRUIMTE - Stein;Group room;groepswerkplek;Building-21@tudelft.nl;;52.002437;4.375626;B;8;1;8;8;0;0;4;1;rustig;ja;ja;ja (>/= 1 pp);ja;nee;ja;nee;ja;>25m;0-25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00079;21 - Library ;21 - Library ;21 - Library ;LIB;LIB;1e verdieping;21.00.01.860;1.86;1.86;GROEPSRUIMTE - Kenndy;Group room;groepswerkplek;Building-21@tudelft.nl;;52.002437;4.375626;B;6;1;6;6;0;0;2;1;rustig;ja;ja;ja (>/= 1 pp);ja;nee;ja;nee;nee;>25m;0-25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00080;21 - Library ;21 - Library ;21 - Library ;LIB;LIB;1e verdieping;21.00.01.930;1.93;1.93;GROEPSRUIMTE - South America;Group room;groepswerkplek;Building-21@tudelft.nl;;52.002568;4.375236;B;8;1;8;8;0;2;4;1;rustig;ja;nee;ja (>/= 1 pp);ja;nee;ja;nee;ja;0-25m;0-25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00081;21 - Library ;21 - Library ;21 - Library ;LIB;LIB;1e verdieping;21.00.01.950;1.95;1.95;GROEPSRUIMTE - Australie;Group room;groepswerkplek;Building-21@tudelft.nl;;52.002568;4.375236;B;8;1;8;8;0;2;4;1;rustig;ja;nee;ja (>/= 1 pp);ja;nee;ja;nee;ja;0-25m;0-25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00082;21 - Library ;21 - Library ;21 - Library ;LIB;LIB;1e verdieping;21.00.01.960;1.96;1.96;COFFEE STAR;Coffee corner;horecaplek;Building-21@tudelft.nl;;52.002568;4.375236;C;36;16;2;36;16;9;16;1;rumoerig;nee;nee;ja (<1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00083;21 - Library ;21 - Library ;21 - Library ;LIB;LIB;1e verdieping;21.00.01.970;1.97;1.97;GROEPSRUIMTE - Europe;Group room;groepswerkplek;Building-21@tudelft.nl;;52.002568;4.375236;B;8;1;8;8;0;2;4;1;rustig;ja;nee;ja (>/= 1 pp);ja;nee;ja;nee;ja;0-25m;0-25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00084;21 - Library ;21 - Library ;21 - Library ;LIB;LIB;2e verdieping;21.00.02.220;2.20;2.20;STUDIERUIMTE;Study Spot;aanlandstudieplek;Building-21@tudelft.nl;;52.002998;4.375912;B;51;17;3;0;51;0;35;1;stil;nee;ja;ja (<1 pp);nee;nee;nee;nee;nee;>25m;>25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00085;21 - Library;21 - Library ;21 - Library;LIB;LIB;2e verdieping;21.00.02.860;2.86;2.86;GROEPSRUIMTE - Bio;Group room;groepswerkplek;Building-21@tudelft.nl;;52.002437;4.375626;B;6;1;6;6;0;0;4;1;rustig;ja;ja;ja (>/= 1 pp);nee;nee;nee;nee;ja;>25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00086;21 - Library;21 - Library ;21 - Library;LIB;LIB;2e verdieping;21.00.02.840;2.84;2.84;GROEPSRUIMTE - Wind;Group room;groepswerkplek;Building-21@tudelft.nl;;52.002437;4.375626;B;6;1;6;6;0;0;4;1;rustig;ja;ja;ja (>/= 1 pp);nee;nee;nee;nee;ja;>25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00087;21 - Library;21 - Library ;21 - Library;LIB;LIB;2e verdieping;21.00.02.820;2.82;2.82;GROEPSRUIMTE - Water;Group room;groepswerkplek;Building-21@tudelft.nl;;52.002437;4.375626;B;6;1;6;6;0;0;4;1;rustig;ja;ja;ja (>/= 1 pp);nee;nee;nee;nee;ja;>25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00088;21 - Library;21 - Library ;21 - Library;LIB;LIB;2e verdieping;21.00.02.800;2.80;2.80;GROEPSRUIMTE - Sun;Group room;groepswerkplek;Building-21@tudelft.nl;;52.002437;4.375626;B;6;1;6;6;0;0;4;1;rustig;ja;ja;ja (>/= 1 pp);nee;nee;ja;nee;ja;>25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
