Ref#;Gebouw NL;Gebouw EN;Gebouw ID;Afkorting NL;Afkorting EN;Etage;Vastgoednr;Kamernr;Kamer ID;Ruimtenaam NL;Ruimtenaam EN;Soort studieplek;Email adres gebouw;Email adres onderwijszaal;Breedtegraad;Lengtegraad;Type Studieplek;Totaal aantal studieplekken;Aantal tafels;Aantal stoelen per tafel;Verstelbare stoel;Vaste stoel;Overige zitplek;Waarvan te gebruiken als individuele studieplek;Beschikbaarheid voor zelfstudie;Mate van stilte;Reserveerbaar voor zelfstudie;Daglicht;Stroompunt;Ethernet;Vaste PC;Whiteboard;Smartboard;Presentatiescherm;Afstand tot coffeecorner/ automaat;Afstand tot printer;Afstand tot toilet;Toegewezen aan project/groep
SSP00068;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;2e verdieping;08.02.02.500;02.Oost.500;02.Oost.500;STUDY ROOM/AREA;Study Spot;onderwijsruimte;Building-08@tudelft.nl;;52.006645;4.371294;B;114;11;10;110;0;4;102;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja
SSP00069;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;2e verdieping;08.02.02.600;02.Oost.600;02.Oost.600;STUDY ROOM/AREA;Study Spot;onderwijsruimte;Building-08@tudelft.nl;;52.006645;4.371294;B;60;6;10;60;0;0;48;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja
SSP00070;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;2e verdieping;08.02.02.700;02.Oost.700;02.Oost.700;STUDY ROOM/AREA;Study Spot;onderwijsruimte;Building-08@tudelft.nl;;52.006259;4.371339;B;140;14;10;140;8;0;124;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja
SSP00071;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;2e verdieping;08.03.02.010;02.West.010;02.West.010;STUDY ROOM/AREA;Study Spot;onderwijsruimte;Building-08@tudelft.nl;;52.004797;4.370150;B;24;3;8;24;0;0;24;2;rustig;nee;ja;ja (>/= 1 pp);ja;ja;nee;nee;nee;0-25m;0-25m;0-25m;ja
SSP00072;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;2e verdieping;08.03.02.010;02.West.010;02.West.010;STUDY ROOM/AREA;Study Spot;onderwijsruimte;Building-08@tudelft.nl;;52.004797;4.370150;B;80;8;10;80;0;0;48;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja
SSP00073;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;2e verdieping;08.03.02.100;02.West.100;02.West.100;STUDY ROOM/AREA;Study Spot;onderwijsruimte;Building-08@tudelft.nl;;52.005061;4.370579;B;130;16;10;130;14;0;90;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja
SSP00074;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;2e verdieping;08.03.02.200;02.West.200;02.West.200;STUDY ROOM/AREA;Study Spot;onderwijsruimte;Building-08@tudelft.nl;;52.005147;4.370706;B;150;15;10;150;8;0;106;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja
SSP00075;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;2e verdieping;08.03.02.500;02.West.500;02.West.500;STUDY ROOM/AREA;Study Spot;onderwijsruimte;Building-08@tudelft.nl;;52.005505;4.370063;B;120;12;10;120;14;6;87;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja
SSP00076;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;2e verdieping;08.03.02.600;02.West.600;02.West.600;STUDY ROOM/AREA;Study Spot;onderwijsruimte;Building-08@tudelft.nl;;52.005495;4.369740;B;40;4;10;40;1;5;32;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja
SSP00077;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;2e verdieping;08.03.02.700;02.West.700;02.West.700;STUDY ROOM/AREA;Study Spot;onderwijsruimte;Building-08@tudelft.nl;;52.005371;4.369571;B;100;10;10;100;2;0;64;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja
SSP00078;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;2e verdieping;08.03.02.800;02.West.800;02.West.800;STUDY ROOM/AREA;Study Spot;onderwijsruimte;Building-08@tudelft.nl;;52.005212;4.369403;B;90;9;10;90;2;0;54;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;>25m;0-25m;0-25m;ja
SSP00079;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;begane grond;08.02.00.410;BG.Oost.410;BG.Oost.410;STUDY ROOM/AREA;Study Spot;onderwijsruimte;Building-08@tudelft.nl;;52.006275;4.370794;B;30;3;10;30;0;0;24;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja
SSP00080;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;begane grond;08.02.00.430;BG.Oost.430;BG.Oost.430;STUDY ROOM/AREA;Study Spot;onderwijsruimte;Building-08@tudelft.nl;;52.006275;4.370794;B;30;3;10;30;0;0;24;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja
SSP00081;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;begane grond;08.02.00.450;BG.Oost.450;BG.Oost.450;STUDY ROOM/AREA;Study Spot;onderwijsruimte;Building-08@tudelft.nl;;52.006275;4.370794;B;30;3;10;30;0;0;24;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja
SSP00082;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;begane grond;08.02.00.560;BG.Oost.560;BG.Oost.560;STUDY ROOM/AREA;Study Spot;onderwijsruimte;Building-08@tudelft.nl;;52.006645;4.371294;B;90;9;10;90;5;0;72;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja
SSP00083;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;begane grond;08.02.00.600;BG.Oost.600;BG.Oost.600;STUDY ROOM/AREA;Study Spot;onderwijsruimte;Building-08@tudelft.nl;;52.006645;4.371294;B;40;4;10;40;0;0;32;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja
SSP00084;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;begane grond;08.02.00.830;BG.Oost.830;BG.Oost.830;STUDY ROOM/AREA;Study Spot;onderwijsruimte;Building-08@tudelft.nl;;52.006151;4.371033;B;12;3;4;12;0;0;12;2;rumoerig;nee;ja;ja (>/= 1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja
SSP00085;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;begane grond;08.03.00.370;BG.West.370;BG.West.370;STUDY ROOM/AREA;Coffee corner;horecaplek;Building-08@tudelft.nl;;52.005505;4.370063;C;6;3;4;0;12;2;6;1;rumoerig;nee;nee;nee;nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00086;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;begane grond;08.04.T0.200;BG.Zuid.200;BG.Zuid.200;STUDY ROOM/AREA;Study Spot;onderwijsruimte;Building-08@tudelft.nl;;52.005422;4.370634;B;83;8;10;80;0;3;83;2;rumoerig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja
SSP00087;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;begane grond;08.04.T0.100;BG.Zuid.100;BG.Zuid.100;STUDY ROOM/AREA;Study Spot;onderwijsruimte;Building-08@tudelft.nl;;52.005657;4.370958;B;36;3;12;0;36;0;36;2;rumoerig;nee;ja;ja (<1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja
SSP00088;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;1e verdieping;08.02.01.010;01.Oost.010;01.Oost.010;ZAAL H;Study Spot;onderwijsruimte;Building-08@tudelft.nl;;52.005714;4.371330;B;30;3;10;30;0;0;24;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja
SSP00089;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;1e verdieping;08.02.01.050;01.Oost.050;01.Oost.050;ZAAL M;Study Spot;onderwijsruimte;Building-08@tudelft.nl;;52.005714;4.371330;B;20;2;10;20;0;0;16;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja
SSP00090;23 - Civiele Techniek en Geowetenschappen;23 - Civil Engineering and Geosciences;23 - Civiele Techniek en Geowetenschappen;CiTG;CEG;begane grond;23.06.00.070;KG 00.070;KG 00.070;COMPUTER ROOM 00.070;Instruction room;onderwijsruimte;Building-23@tudelft.nl;Room-23.KG.00.070@tudelft.nl;51.999652;4.374984;A;33;10;3;33;0;0;33;2;rustig;nee;ja;ja (>/= 1 pp);ja;ja;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00091;23 - Civiele Techniek en Geowetenschappen;23 - Civil Engineering and Geosciences;23 - Civiele Techniek en Geowetenschappen;CiTG;CEG;1e verdieping;23.00.01.210;HG 1.21;HG 1.21;COMPUTER ROOM 1.21;Study Spot;onderwijsruimte;Building-23@tudelft.nl;Room-23.HG.1.21@tudelft.nl;51.999652;4.374984;A;20;20;1;20;0;0;20;2;rustig;nee;ja;ja (>/= 1 pp);ja;ja;nee;nee;nee;0-25m;>25m;0-25m;nee
SSP00092;23 - Civiele Techniek en Geowetenschappen;23 - Civil Engineering and Geosciences;23 - Civiele Techniek en Geowetenschappen;CiTG;CEG;begane grond;23.03.00.010;S3.00.010;S3.00.010;EDUCATION AREA;Office;concentratiestudieplek;Building-23@tudelft.nl;;51.998096;4.376591;A;16;3;6;12;0;4;10;1;rustig;nee;ja;ja (<1 pp);nee;ja;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00093;23 - Civiele Techniek en Geowetenschappen;23 - Civil Engineering and Geosciences;23 - Civiele Techniek en Geowetenschappen;CiTG;CEG;begane grond;23.03.00.020;S3.00.020;S3.00.020;EDUCATION AREA;Office;concentratiestudieplek;Building-23@tudelft.nl;;51.998096;4.376591;A;12;2;6;8;0;4;6;1;rustig;nee;ja;ja (<1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00094;23 - Civiele Techniek en Geowetenschappen;23 - Civil Engineering and Geosciences;23 - Civiele Techniek en Geowetenschappen;CiTG;CEG;begane grond;23.00.00.450;HG 0.45;HG 0.45;GANG;Corridor;concentratiestudieplek;Building-23@tudelft.nl;;51.999208;4.375291;A;48;8;6;48;0;0;48;1;stil;nee;nee;ja (>/= 1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00095;23 - Civiele Techniek en Geowetenschappen;23 - Civil Engineering and Geosciences;23 - Civiele Techniek en Geowetenschappen;CiTG;CEG;1e verdieping;23.00.01.270;HG 1.27;HG 1.27;GANG;Corridor;aanlandstudieplek / groepswerkplek;Building-23@tudelft.nl;;51.999208;4.375291;B;72;12;6;0;72;6;25;1;rustig;nee;ja;ja (<1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00096;23 - Civiele Techniek en Geowetenschappen;23 - Civil Engineering and Geosciences;23 - Civiele Techniek en Geowetenschappen;CiTG;CEG;1e verdieping;23.00.01.270;HG 1.27;HG 1.27;GANG;Corridor;horecaplek;Building-23@tudelft.nl;;51.999208;4.375291;C;74;0;0;0;0;74;0;1;rustig;nee;ja;nee;nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00097;23 - Civiele Techniek en Geowetenschappen;23 - Civil Engineering and Geosciences;23 - Civiele Techniek en Geowetenschappen;CiTG;CEG;1e verdieping;23.00.01.961;HG 1.81G;HG 1.81G;GANG;Study Spot;aanlandstudieplek;Building-23@tudelft.nl;;51.998191;4.376007;B;20;5;4;20;0;0;10;1;rumoerig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00098;23 - Civiele Techniek en Geowetenschappen;23 - Civil Engineering and Geosciences;23 - Civiele Techniek en Geowetenschappen;CiTG;CEG;1e verdieping;23.00.01.720;HG 1.81.1;HG 1.81.1;GANG;Corridor;informeel zitje;Building-23@tudelft.nl;;51.998191;4.376007;C;8;1;8;0;0;8;0;1;rumoerig;nee;nee;nee;nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00099;23 - Civiele Techniek en Geowetenschappen;23 - Civil Engineering and Geosciences;23 - Civiele Techniek en Geowetenschappen;CiTG;CEG;2e verdieping;23.00.02.500;HG 2.50;HG 2.50;GANG;Corridor;aanlandstudieplek;Building-23@tudelft.nl;;51.998704;4.375644;B;8;1;8;8;0;8;2;1;rustig;nee;ja;ja (>/= 1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00100;23 - Civiele Techniek en Geowetenschappen;23 - Civil Engineering and Geosciences;23 - Civiele Techniek en Geowetenschappen;CiTG;CEG;2e  verdieping;23.00.02.705;HG 2.72.1;HG 2.72.1;GANG;Corridor;informeel zitje;Building-23@tudelft.nl;;51.998427;4.375832;C;5;0;0;0;0;5;0;1;rustig;nee;nee;nee;nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00101;23 - Civiele Techniek en Geowetenschappen;23 - Civil Engineering and Geosciences;23 - Civiele Techniek en Geowetenschappen;CiTG;CEG;4e verdieping;23.00.04.260;HG 4.03.5;HG 4.03.5;GANG;Corridor;informeel zitje;Building-23@tudelft.nl;;51.999208;4.375291;C;8;0;0;0;0;8;0;1;rustig;nee;nee;nee;nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00102;23 - Civiele Techniek en Geowetenschappen;23 - Civil Engineering and Geosciences;23 - Civiele Techniek en Geowetenschappen;CiTG;CEG;4e verdieping;23.00.04.905;HG 4.90.5;HG 4.90.5;GANG;Corridor;aanlandstudieplek;Building-23@tudelft.nl;;51.998427;4.375832;B;8;1;10;0;10;0;4;1;rustig;nee;nee;ja (<1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00103;23 - Civiele Techniek en Geowetenschappen;23 - Civil Engineering and Geosciences;23 - Civiele Techniek en Geowetenschappen;CiTG;CEG;6e verdieping;23.00.06.135;HG 6.68.5;HG 6.68.5;GANG;Corridor;aanlandstudieplek / groepswerkplek;Building-23@tudelft.nl;;51.998427;4.375832;B;8;1;8;0;8;0;4;1;rustig;nee;ja;ja (<1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00104;23 - Civiele Techniek en Geowetenschappen;23 - Civil Engineering and Geosciences;23 - Civiele Techniek en Geowetenschappen;CiTG;CEG;begane grond;23.02.00.350;S2 0.38.5;S2 0.38.5;GANG;PORTAAL;aanlandstudieplek / groepswerkplek;Building-23@tudelft.nl;;51.998509;4.376284;B;8;1;8;0;8;0;2;1;rumoerig;nee;ja;nee;nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00105;23 - Civiele Techniek en Geowetenschappen;23 - Civil Engineering and Geosciences;23 - Civiele Techniek en Geowetenschappen;CiTG;CEG;1e verdieping;23.02.01.360;S2 1.50.6;S2 1.50.6;GANG;GALERIJ;aanlandstudieplek / groepswerkplek;Building-23@tudelft.nl;;51.998509;4.376284;B;5;1;5;0;5;0;2;1;rustig;nee;nee;ja (<1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00106;23 - Civiele Techniek en Geowetenschappen;23 - Civil Engineering and Geosciences;23 - Civiele Techniek en Geowetenschappen;CiTG;CEG;1e verdieping;23.00.01.950;HG 1.95;HG 1.95;INSTRUCTION ROOM 1.95;Instruction room;onderwijsruimte;Building-23@tudelft.nl;Room-23.HG.1.95@tudelft.nl;51.997993;4.376141;B;48;24;2;0;48;0;24;2;rustig;nee;nee;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja
SSP00107;23 - Civiele Techniek en Geowetenschappen;23 - Civil Engineering and Geosciences;23 - Civiele Techniek en Geowetenschappen;CiTG;CEG;2e verdieping;23.00.02.062;HG 2.04.2;HG 2.04.2;ONTMOETINGSRUIMTE;Corridor;informeel zitje;Building-23@tudelft.nl;;51.999490;4.375110;C;10;0;0;0;0;10;0;1;rustig;nee;ja;ja (<1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00108;23 - Civiele Techniek en Geowetenschappen;23 - Civil Engineering and Geosciences;23 - Civiele Techniek en Geowetenschappen;CiTG;CEG;2e verdieping;23.00.02.240;HG 2.26;HG 2.26;ONTMOETINGSRUIMTE;Corridor;aanlandstudieplek / groepswerkplek;Building-23@tudelft.nl;;51.999058;4.375404;B;12;1;8;0;8;4;4;1;rustig;nee;ja;ja (<1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00109;23 - Civiele Techniek en Geowetenschappen;23 - Civil Engineering and Geosciences;23 - Civiele Techniek en Geowetenschappen;CiTG;CEG;2e verdieping;23.00.02.506;HG 2.39.5;HG 2.39.5;ONTMOETINGSRUIMTE;Corridor;aanlandstudieplek / groepswerkplek;Building-23@tudelft.nl;;51.998704;4.375644;B;8;1;8;0;8;0;3;1;rustig;nee;nee;nee;nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00110;23 - Civiele Techniek en Geowetenschappen;23 - Civil Engineering and Geosciences;23 - Civiele Techniek en Geowetenschappen;CiTG;CEG;2e verdieping;23.00.02.707;HG 2.72.6;HG 2.72.6;ONTMOETINGSRUIMTE;Corridor;aanlandstudieplek / groepswerkplek;Building-23@tudelft.nl;;51.998427;4.375832;B;10;1;10;0;10;0;4;1;rustig;nee;ja;ja (<1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00111;23 - Civiele Techniek en Geowetenschappen;23 - Civil Engineering and Geosciences;23 - Civiele Techniek en Geowetenschappen;CiTG;CEG;3e verdieping;23.00.03.262;HG 3.06.2;HG 3.06.2;ONTMOETINGSRUIMTE;Corridor;aanlandstudieplek / groepswerkplek;Building-23@tudelft.nl;;51.999490;4.375110;B;11;1;8;0;8;3;2;1;rustig;nee;ja;ja (<1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00112;23 - Civiele Techniek en Geowetenschappen;23 - Civil Engineering and Geosciences;23 - Civiele Techniek en Geowetenschappen;CiTG;CEG;3e verdieping;23.00.03.242;HG 3.26;HG 3.26;ONTMOETINGSRUIMTE;Corridor;aanlandstudieplek / groepswerkplek;Building-23@tudelft.nl;;51.999208;4.375291;B;4;2;2;0;4;0;4;1;rustig;nee;ja;ja (>/= 1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00113;23 - Civiele Techniek en Geowetenschappen;23 - Civil Engineering and Geosciences;23 - Civiele Techniek en Geowetenschappen;CiTG;CEG;3e verdieping;23.00.03.725;HG 3.72.1;HG 3.72.1;ONTMOETINGSRUIMTE;Corridor;aanlandstudieplek / groepswerkplek;Building-23@tudelft.nl;;51.998427;4.375832;B;9;1;5;0;5;4;2;1;rustig;nee;ja;ja (<1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00114;23 - Civiele Techniek en Geowetenschappen;23 - Civil Engineering and Geosciences;23 - Civiele Techniek en Geowetenschappen;CiTG;CEG;3e verdieping;23.00.03.904;HG 3.92.2;HG 3.92.2;ONTMOETINGSRUIMTE;Corridor;aanlandstudieplek;Building-23@tudelft.nl;;51.997993;4.376141;B;8;1;8;8;0;0;4;1;rustig;nee;ja;ja (>/= 1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00115;23 - Civiele Techniek en Geowetenschappen;23 - Civil Engineering and Geosciences;23 - Civiele Techniek en Geowetenschappen;CiTG;CEG;4e verdieping;23.00.04.262;HG 4.06.2;HG 4.06.2;ONTMOETINGSRUIMTE;Corridor;aanlandstudieplek / groepswerkplek;Building-23@tudelft.nl;;51.999208;4.375291;B;10;2;5;0;9;0;4;1;rustig;nee;ja;ja (<1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00116;23 - Civiele Techniek en Geowetenschappen;23 - Civil Engineering and Geosciences;23 - Civiele Techniek en Geowetenschappen;CiTG;CEG;4e verdieping;23.00.04.506;HG 4.50.7;HG 4.50.7;ONTMOETINGSRUIMTE;Corridor;informeel zitje;Building-23@tudelft.nl;;51.998704;4.375644;C;8;0;0;0;0;8;0;1;rustig;nee;ja;ja (<1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00117;23 - Civiele Techniek en Geowetenschappen;23 - Civil Engineering and Geosciences;23 - Civiele Techniek en Geowetenschappen;CiTG;CEG;4e verdieping;23.00.04.704;HG 4.72.5;HG 4.72.5;ONTMOETINGSRUIMTE;Corridor;aanlandstudieplek / groepswerkplek;Building-23@tudelft.nl;;51.998427;4.375832;B;12;1;8;0;10;4;2;1;rustig;nee;ja;ja (<1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00118;23 - Civiele Techniek en Geowetenschappen;23 - Civil Engineering and Geosciences;23 - Civiele Techniek en Geowetenschappen;CiTG;CEG;6e verdieping;23.00.06.011;HG 6.02.6;HG 6.02.6;ONTMOETINGSRUIMTE;Corridor;aanlandstudieplek / groepswerkplek;Building-23@tudelft.nl;;51.999652;4.374984;B;14;1;14;0;14;0;6;1;rustig;nee;nee;ja (<1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00119;23 - Civiele Techniek en Geowetenschappen;23 - Civil Engineering and Geosciences;23 - Civiele Techniek en Geowetenschappen;CiTG;CEG;6e verdieping;23.00.06.100;HG 6.09;HG 6.09;ONTMOETINGSRUIMTE;Corridor;aanlandstudieplek / groepswerkplek;Building-23@tudelft.nl;;51.999490;4.375110;B;8;4;2;0;10;0;4;1;rustig;nee;ja;ja (>/= 1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00120;23 - Civiele Techniek en Geowetenschappen;23 - Civil Engineering and Geosciences;23 - Civiele Techniek en Geowetenschappen;CiTG;CEG;6e verdieping;23.00.06.310;HG 6.31;HG 6.31;ONTMOETINGSRUIMTE;Corridor;informeel zitje;Building-23@tudelft.nl;;51.999058;4.375404;C;8;0;0;0;0;8;0;1;rustig;nee;ja;nee;nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00121;23 - Civiele Techniek en Geowetenschappen;23 - Civil Engineering and Geosciences;23 - Civiele Techniek en Geowetenschappen;CiTG;CEG;6e verdieping;23.00.06.372;HG 6.34.6;HG 6.34.6;ONTMOETINGSRUIMTE;Corridor;aanlandstudieplek / groepswerkplek;Building-23@tudelft.nl;;51.999058;4.375404;B;6;1;6;0;6;0;4;1;rustig;nee;nee;ja (<1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00122;23 - Civiele Techniek en Geowetenschappen;23 - Civil Engineering and Geosciences;23 - Civiele Techniek en Geowetenschappen;CiTG;CEG;6e verdieping;23.00.06.451;HG 6.44.7;HG 6.44.7;ONTMOETINGSRUIMTE;Corridor;aanlandstudieplek;Building-23@tudelft.nl;;51.999058;4.375404;B;4;1;4;0;4;0;2;1;rustig;nee;nee;ja (<1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00123;23 - Civiele Techniek en Geowetenschappen;23 - Civil Engineering and Geosciences;23 - Civiele Techniek en Geowetenschappen;CiTG;CEG;6e verdieping;23.00.06.530;HG 6.53;HG 6.53;ONTMOETINGSRUIMTE;Corridor;aanlandstudieplek / groepswerkplek;Building-23@tudelft.nl;;51.998704;4.375644;B;6;1;6;0;6;0;4;1;rustig;nee;ja;ja (<1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00124;23 - Civiele Techniek en Geowetenschappen;23 - Civil Engineering and Geosciences;23 - Civiele Techniek en Geowetenschappen;CiTG;CEG;2e verdieping;23.00.02.580;HG 2.64.7;HG 2.64.7;PANTRY;Corridor;aanlandstudieplek;Building-23@tudelft.nl;;51.998704;4.375644;B;7;1;7;0;7;0;2;1;rustig;nee;nee;nee;nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00125;23 - Civiele Techniek en Geowetenschappen;23 - Civil Engineering and Geosciences;23 - Civiele Techniek en Geowetenschappen;CiTG;CEG;begane grond;23.00.00.200;HG 0.20;HG 0.20;PROJECT ROOM;Hall;onderwijsruimte;Building-23@tudelft.nl;Room-23.HG.0.20@tudelft.nl;51.999561;4.375434;A;96;12;8;96;0;0;96;2;rustig;nee;nee;ja (>/= 1 pp);ja;ja;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00126;23 - Civiele Techniek en Geowetenschappen;23 - Civil Engineering and Geosciences;23 - Civiele Techniek en Geowetenschappen;CiTG;CEG;begane grond;23.00.00.720;HG 0.72;HG 0.72;PROJECT ROOM;Group room;aanlandstudieplek;Building-23@tudelft.nl;;51.998427;4.375832;B;4;4;1;1;3;0;5;1;rustig;nee;nee;ja (>/= 1 pp);ja;ja;nee;nee;nee;>25m;0-25m;0-25m;nee
SSP00127;23 - Civiele Techniek en Geowetenschappen;23 - Civil Engineering and Geosciences;23 - Civiele Techniek en Geowetenschappen;CiTG;CEG;begane grond;23.00.00.720;HG 0.72;HG 0.72;PROJECT ROOM;Group room;aanlandstudieplek / groepswerkplek;Building-23@tudelft.nl;;51.998427;4.375832;B;4;1;4;2;2;0;2;1;rustig;ja;nee;ja (>/= 1 pp);ja;nee;nee;nee;nee;>25m;0-25m;0-25m;nee
SSP00128;23 - Civiele Techniek en Geowetenschappen;23 - Civil Engineering and Geosciences;23 - Civiele Techniek en Geowetenschappen;CiTG;CEG;begane grond;23.00.00.740;HG 0.72.1;HG 0.72.1;PROJECT ROOM;Study Spot;aanlandstudieplek;Building-23@tudelft.nl;;51.998427;4.375832;B;6;6;1;3;3;0;6;1;rustig;nee;nee;ja (>/= 1 pp);ja;ja;nee;nee;nee;>25m;0-25m;0-25m;nee
